Artist,Album,Spotify_Album_ID,Spotify_Album_URL,Release_Date,Type,Number of Tracks,Artist URL,Album Art URL
Coldplay,Mylo Xyloto,2R7iJz5uaHjLEVnMkloO18,https://open.spotify.com/album/2R7iJz5uaHjLEVnMkloO18,2011-10-24,album,14,https://open.spotify.com/artist/4gzpq5DPGxSnKTe4SA8HAU,https://i.scdn.co/image/ab67616d0000b273de0cd11d7b31c3bd1fd5983d
Coldplay,A Head Full of Dreams,3cfAM8b8KqJRoIzt3zLKqw,https://open.spotify.com/album/3cfAM8b8KqJRoIzt3zLKqw,2015-12-04,album,11,https://open.spotify.com/artist/4gzpq5DPGxSnKTe4SA8HAU,https://i.scdn.co/image/ab67616d0000b2738ff7c3580d429c8212b9a3b6
Creed,Weathered,2ENlJXygQX6en4iziijet6,https://open.spotify.com/album/2ENlJXygQX6en4iziijet6,2001-01-01,album,11,https://open.spotify.com/artist/43sZBwHjahUvgbx1WNIkIz,https://i.scdn.co/image/ab67616d0000b273a32f2ae4dade83e0d7a294f4
Creed,Full Circle,63a1DgGeNsC197MCiV0X0i,https://open.spotify.com/album/63a1DgGeNsC197MCiV0X0i,2009-01-01,album,12,https://open.spotify.com/artist/43sZBwHjahUvgbx1WNIkIz,https://i.scdn.co/image/ab67616d0000b273024d18f1943e08dbf91208d9
Creed,My Own Prison,50EmY7MXVsXoUEdwieYbud,https://open.spotify.com/album/50EmY7MXVsXoUEdwieYbud,1997-01-01,album,10,https://open.spotify.com/artist/43sZBwHjahUvgbx1WNIkIz,https://i.scdn.co/image/ab67616d0000b2737a12793a027ffd587b93381a
Crossfade,Crossfade,1namjaJZ23ozXXB7X2d4hy,https://open.spotify.com/album/1namjaJZ23ozXXB7X2d4hy,2004-04-13,album,10,https://open.spotify.com/artist/4IR8ZkpbyyKrqsIzchF3NB,https://i.scdn.co/image/ab67616d0000b2736655dcd1e8b57d0022f856e6
Crossfade,Falling Away,7Kp4pLv4XFdozWox7MzzIH,https://open.spotify.com/album/7Kp4pLv4XFdozWox7MzzIH,2006-08-29,album,11,https://open.spotify.com/artist/4IR8ZkpbyyKrqsIzchF3NB,https://i.scdn.co/image/ab67616d0000b273933de98d39c37d007f701aa1
Daughtry,Leave This Town,4a3wP4t2IswXR40aXQcYrM,https://open.spotify.com/album/4a3wP4t2IswXR40aXQcYrM,2009-07-14,album,12,https://open.spotify.com/artist/5P5FTygHyx2G57oszR3Wot,https://i.scdn.co/image/ab67616d0000b273d119adfbfbbd3757cadf0440
Daughtry,Daughtry,7MEQdKzqoG2QJYcT2XEKsW,https://open.spotify.com/album/7MEQdKzqoG2QJYcT2XEKsW,2006-11-20,album,12,https://open.spotify.com/artist/5P5FTygHyx2G57oszR3Wot,https://i.scdn.co/image/ab67616d0000b2730b9c38fede4b4c41f419cc8e
David Crowder Band,Give Us Rest Or A Requiem Mass In C (The Happiest Of All Keys),0drr3h6hP9p4lDhZ6n2U8X,https://open.spotify.com/album/0drr3h6hP9p4lDhZ6n2U8X,2012-01-01,album,34,https://open.spotify.com/artist/7DhP3bGT7dzr1dCkkH5mTS,https://i.scdn.co/image/ab67616d0000b27325ef9c1d34a21e08e6a105a2
